Stage,N,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV,Accuracy,AUC,LR+,LR-,Brier
Gatekeeper,178,68,90,10,10,0.8717948717948718,0.9,0.8717948717948718,0.9,0.8876404494382022,0.911794871794872,8.71794871794872,0.14245014245014243,0.10546672724978402
Reflex,142,55,42,23,22,0.7142857142857143,0.6461538461538462,0.7051282051282052,0.65625,0.6830985915492958,0.7350649350649351,2.018633540372671,0.44217687074829926,0.2056923225454288
