band,n,auc_ptau,auc_stage2,delta,ci_low,ci_high
"[0.450,0.700] selected in ADNI",147,0.5018140589569161,0.6589569160997732,0.15714285714285714,0.03435543481058419,0.28230716074324813
"[0.25,0.75] pre-specified",410,0.7033158813263525,0.7427861053336201,0.03947022400726763,0.006019569679445907,0.07294543694308539
