Metric,Estimate,95% CI Lower,95% CI Upper,95% CI
AUC,0.8527077223851417,0.8080365361919749,0.8939442977634895,[0.808-0.894]
Accuracy,0.796875,0.753125,0.8375,[0.753-0.838]
Sensitivity,0.7935483870967742,0.7305320280491648,0.8535106343353075,[0.731-0.854]
Specificity,0.8,0.7380952380952381,0.8571428571428571,[0.738-0.857]
