bin,bin_lower,bin_upper,n,observed_positive,expected_positive,observed_fraction,mean_predicted
2,0.1,0.2,60,9,10.495908589439873,0.15,0.1749318098239979
3,0.2,0.30000000000000004,74,13,17.161279390087653,0.17567567567567569,0.23190918094713045
4,0.30000000000000004,0.4,20,4,7.075152085789038,0.2,0.3537576042894519
5,0.4,0.5,15,7,6.805265955944266,0.4666666666666667,0.4536843970629511
6,0.5,0.6000000000000001,18,10,10.021459829917678,0.5555555555555556,0.5567477683287598
7,0.6000000000000001,0.7000000000000001,19,11,12.495701971943067,0.5789473684210527,0.6576685248391088
8,0.7000000000000001,0.8,15,14,11.417582509306381,0.9333333333333333,0.7611721672870921
9,0.8,0.9,42,37,35.44866691944572,0.8809523809523809,0.8440158790344219
10,0.9,1.0,57,50,54.771997677039295,0.8771929824561403,0.9609122399480579
