Operating_Point,N,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV,Accuracy,AUC,LR+,LR-,Brier
50% threshold (standard),320,123,132,33,32,0.7935483870967742,0.8,0.7884615384615384,0.8048780487804879,0.796875,0.8527077223851418,3.967741935483872,0.2580645161290322,0.14994183516222637
90% Specificity (rule-in),320,108,151,14,47,0.6967741935483871,0.9151515151515152,0.8852459016393442,0.7626262626262627,0.809375,0.8527077223851418,8.211981566820278,0.33133945738090154,0.14994183516222637
90% Sensitivity (rule-out),320,140,102,63,15,0.9032258064516129,0.6181818181818182,0.6896551724137931,0.8717948717948718,0.75625,0.8527077223851418,2.365591397849462,0.1565464895635674,0.14994183516222637
Youden's J optimal,320,108,151,14,47,0.6967741935483871,0.9151515151515152,0.8852459016393442,0.7626262626262627,0.809375,0.8527077223851418,8.211981566820278,0.33133945738090154,0.14994183516222637
