arm,n,auc,auc_ptau,delta,ci_low,ci_high
p-tau217 alone,410,0.7033158813263525,,,,
"Stage 2, published (imputation-trained)",410,0.7387458461832699,,,,
"Stage 2, clean (no imputation anywhere)",410,0.7427861053336201,,,,
"band [0.45,0.55] clean",67,0.5542553191489362,0.43297872340425525,0.12127659574468097,-0.07156517094017092,0.30238003897211035
"band [0.42,0.58] clean",112,0.6214359326691858,0.5836482308485056,0.03778770182068025,-0.0845645306282687,0.1627991236939669
"band [0.4,0.6] clean",139,0.6419482229047828,0.6010311540149189,0.040917068889863906,-0.057417525026888364,0.13913621646623467
"band [0.35,0.65] clean",212,0.6968040759610932,0.6504863362667902,0.04631773969430297,-0.006931646375700079,0.09836046927492215
"band [0.3,0.7] clean",301,0.7295558137456433,0.6754625078201806,0.05409330592546269,0.0147463851531733,0.0941061754324639
"band [0.25,0.75] clean",410,0.7427861053336201,0.7033158813263525,0.03947022400726763,0.0069235318203703464,0.07095075313644911
