dropped_feature,auc,delta_auc,accuracy,sensitivity,specificity
APOE4_carrier,0.8503616813294232,-0.006256109481916017,0.80625,0.7935483870967742,0.8181818181818182
pTau217_Z,0.8514173998044965,-0.005200391006842775,0.765625,0.7096774193548387,0.8181818181818182
AGE,0.8560703812316716,-0.0005474095796677014,0.79375,0.7741935483870968,0.8121212121212121
tau_ab42_diff,0.8582209188660802,0.0016031280547409432,0.796875,0.7677419354838709,0.8242424242424242
gfap_tau_interaction,0.8605669599217985,0.003949169110459283,0.821875,0.8129032258064516,0.8303030303030303
GFAP_Z,0.8636950146627566,0.007077223851417291,0.815625,0.8064516129032258,0.8242424242424242
