feature,label,importance_pct,ci_lo_pct,ci_hi_pct
GFAP_Z,GFAP,6.86432884061075,4.504950597452365,13.118746668852824
APOE4_carrier,APOE ε4,12.269878380298637,3.009769179434838,21.318172643195478
gfap_tau_interaction,GFAP × p-tau217,15.105472133801474,10.243676864395573,25.808939382009854
tau_ab42_diff,Tau/Aβ42 ratio,15.351840941325175,10.903308364899178,23.708270955052193
AGE,Age,15.814027062639441,10.689446763389537,22.803048239141237
pTau217_Z,p-tau217,34.594452641324516,19.883066246485388,43.95653055549211
