strategy,overall_auc,overall_acc,overall_sens,overall_spec,overall_brier,gz_n,gz_auc,gz_acc,gz_sens,gz_spec
Gray-zone-only RF (current),0.8566177908113393,0.80625,0.7870967741935484,0.8242424242424242,0.14754692388783083,142,0.7506493506493507,0.704225352112676,0.7012987012987013,0.7076923076923077
All-data RF,0.8624828934506352,0.8,0.8,0.8,0.14677507675619178,142,0.7564435564435564,0.6901408450704225,0.7272727272727273,0.6461538461538462
All-data Logistic Reg,0.8657282502443793,0.803125,0.7548387096774194,0.8484848484848485,0.1517313626882699,82,0.7817531305903399,0.7439024390243902,0.6744186046511628,0.8205128205128205
All-data GBM,0.8469990224828935,0.7875,0.7483870967741936,0.8242424242424242,0.1590235558082435,82,0.723911747167561,0.6829268292682927,0.6511627906976745,0.717948717948718
Blended (GK+Reflex avg),0.8671749755620725,0.80625,0.7870967741935484,0.8242424242424242,0.14804112470957778,142,0.7480519480519481,0.704225352112676,0.7012987012987013,0.7076923076923077
