Tertile,N,Amyloid_Positive_Rate,Mean_pTau217,Mean_Centiloid
Small,348,0.7471264367816092,0.16973850574712646,39.8094658045977
Medium,348,0.5747126436781609,0.1571896551724138,28.420197126436783
Large,348,0.3017241379310345,0.14577586206896553,14.19018706896552
