Feature,Importance
pTau217_log,0.26766126315570893
pTau217_AB42_log,0.23225854812377617
Hippocampus_norm,0.16927490276892418
AB42_40_log,0.14543320954413927
GFAP_log,0.07138132226354643
NfL_log,0.06146310707883716
Entorhinal_norm,0.05252764706506792
