prevalence,setting,ppv,npv,false_pos_per_1000,false_neg_per_1000
0.2,Primary care / community screening,0.5180705987990347,0.9359253705914125,144,45
0.3,General neurology referral,0.6482396622398554,0.8949649782246898,126,67
0.48,ADNI development cohort,0.7987605216408488,0.7982247264641995,94,108
0.5,Specialist memory clinic,0.8113197183253321,0.7850248429296554,90,112
0.7,A4 + LEARN (as observed),0.9093650009059101,0.6101386423094429,54,157
