feature,importance
tau_ab42_diff,0.27256783127906864
pTau217_Z,0.1919007831663993
Hippocampus_norm,0.18928242099866113
APOE4_carrier,0.1252514496623073
GFAP_Z,0.09857623396142484
gfap_tau_interaction,0.07249966886584153
AGE,0.049921612066297374
