cohort,n,auc_ptau,auc_stage2,delta_auc,d_ptau,d_stage2,delta_d,delong_p
ADNI (Development),142,0.7292707292707292,0.7664335664335664,0.03716283716283719,0.8635313616178294,1.0283481735447568,0.16481681192692743,0.21603122742898295
A4 + LEARN (External),727,0.73145106091718,0.7617000342231348,0.030248973305954774,0.8728631985492723,1.006611413349608,0.13374821480033572,0.022816346055976558
