Metric,Estimate,95% CI Lower,95% CI Upper,95% CI
AUC,0.8566177908113393,0.8126675393693097,0.8967012228459456,[0.813-0.897]
AUPRC,0.8267933368793509,0.7570840434632837,0.8968894891106237,[0.757-0.897]
Accuracy,0.80625,0.7625,0.846875,[0.762-0.847]
Sensitivity,0.7870967741935484,0.7234009099424595,0.8481056307289393,[0.723-0.848]
Specificity,0.8242424242424242,0.7636363636363637,0.880005988023952,[0.764-0.880]
