Operating_Point,N,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV,Accuracy,AUC,LR+,LR-,Brier
50% threshold (standard),320,122,136,29,33,0.7870967741935484,0.8242424242424242,0.8079470198675497,0.8047337278106509,0.80625,0.8566177908113393,4.478309232480534,0.25830170777988615,0.14754692388783083
90% Specificity (rule-in),320,105,149,16,50,0.6774193548387096,0.9030303030303031,0.8677685950413223,0.7487437185929648,0.79375,0.8566177908113393,6.985887096774196,0.35722017752760343,0.14754692388783083
90% Sensitivity (rule-out),320,140,95,70,15,0.9032258064516129,0.5757575757575758,0.6666666666666666,0.8636363636363636,0.734375,0.8566177908113393,2.1290322580645165,0.168081494057725,0.14754692388783083
Youden's J optimal,320,121,142,23,34,0.7806451612903226,0.8606060606060606,0.8402777777777778,0.8068181818181818,0.821875,0.8566177908113393,5.600280504908835,0.25488414357110406,0.14754692388783083
