cohort,metric,ptau,grad,delta,p,n
ADNI (Development),Sensitivity @ matched spec,0.5194805194805194,0.5714285714285714,0.051948051948051965,0.358,142
ADNI (Development),Specificity @ matched sens,0.8153846153846154,0.9076923076923077,0.09230769230769231,0.372,142
ADNI (Development),AUC,0.7292707292707292,0.7664335664335664,0.03716283716283719,0.21603122742898295,142
A4 (External Validation),Sensitivity @ matched spec,0.4703196347031963,0.5616438356164384,0.09132420091324206,0.265,410
A4 (External Validation),Specificity @ matched sens,0.8219895287958116,0.8638743455497382,0.041884816753926635,0.297,410
A4 (External Validation),AUC,0.7033158813263525,0.7451887446508403,0.04187286332448781,0.011660877521172897,410
