cohort,n,gray_zone_n,reflex_outside_band,gray_zone_auc,gray_zone_auc_reconciled,overall_auc_published,overall_auc_reconciled,gatekeeper_alone_auc,reflex_gain_within_gray_zone
ADNI (LOOCV),320,143,0,0.7316,0.7316,0.8665,0.8665,0.8642,0.0116
A4 + LEARN,1644,1293,0,0.7668,0.7668,0.8296,0.8296,,
